 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
346,112,196,88.003,43.650,0,0.228,1.527,3.223,8.083,22.925,16.448
347,112,198,80.059,38.950,0,0.230,1.555,3.523,9.781,31.059,21.528
348,113,197,0.928,40.636,0,0.100,1.060,2.100,5.798,19.628,9.926
349,113,199,3.081,32.274,0,0.281,1.457,2.987,7.481,21.771,28.967
350,113,201,2.007,12.615,0,0.210,1.880,4.477,12.263,37.192,10.536
351,114,197,68.973,81.104,0,0.274,1.603,3.496,9.038,26.406,7.122
352,114,199,55.934,89.011,0,0.117,1.191,2.515,6.665,20.241,8.586
353,115,198,80.934,1.868,0,0.182,1.516,3.257,8.554,25.567,31.164
354,115,200,76.232,0.685,0,0.075,0.977,2.179,6.856,25.382,12.316
355,115,202,84.682,14.369,0,0.274,1.490,2.836,6.115,14.561,28.506
356,115,204,76.557,20.620,0,0.192,1.343,2.987,8.778,30.234,17.211
357,116,198,68.432,34.281,0,0.270,1.695,4.038,11.425,36.080,5.925
358,116,200,66.651,40.418,0,0.192,1.473,3.413,9.761,31.425,52.114
359,117,199,80.390,60.508,0,0.261,1.573,3.341,8.354,23.614,23.318
360,117,201,71.739,72.073,0,0.305,1.763,4.206,11.769,36.649,10.582
361,117,203,68.656,82.839,0,0.291,1.654,3.408,7.894,20.004,22.278
362,117,205,66.865,73.630,0,0.253,1.490,3.085,7.572,21.062,13.274
363,118,200,55.457,76.902,0,0.211,1.484,3.162,8.100,23.518,45.303
364,118,202,59.589,73.075,0,0.246,1.398,2.570,5.392,12.570,36.886
365,118,204,57.673,84.881,0,0.226,1.359,2.675,6.569,19.083,33.656
366,119,200,24.603,85.379,0,0.220,1.327,2.365,4.871,11.351,13.674
367,119,202,20.640,71.427,0,0.310,1.617,3.370,8.125,22.086,5.041
368,119,204,33.132,74.620,0,0.316,1.819,4.371,11.995,35.868,8.345
369,119,206,22.033,73.087,0,0.240,1.646,3.768,10.187,30.661,36.293
370,119,208,5.494,81.843,0,0.353,1.748,4.142,11.310,33.841,13.366
371,119,209,9.833,79.652,0,0.335,1.573,3.197,7.444,19.206,17.878
372,120,204,25.810,20.606,0,0.203,1.321,2.432,5.451,14.514,30.537
373,120,206,35.331,19.617,0,0.264,1.738,4.020,10.669,31.028,43.010
374,120,208,27.339,34.903,0,0.196,1.452,3.275,9.499,32.106,18.437
375,120,210,21.986,18.526,0,0.246,1.461,2.763,5.953,14.251,37.618
376,121,204,0.933,61.849,0,0.124,1.195,2.466,6.546,20.328,31.458
377,121,206,19.397,63.757,0,0.295,1.782,4.019,10.263,28.777,42.730
378,121,208,14.462,72.194,0,0.261,1.737,3.875,9.907,27.983,17.269
379,122,207,93.054,76.002,0,0.108,1.045,2.036,5.161,15.529,11.179
380,122,208,87.259,72.581,0,0.188,1.556,3.345,8.453,23.895,19.906
381,122,210,74.695,81.186,0,0.177,1.394,3.150,9.225,31.451,17.455
382,122,211,81.514,85.432,0,0.246,1.555,2.981,6.373,14.847,42.991
383,122,213,76.947,77.261,0,0.250,1.633,3.655,9.592,27.995,29.346
384,123,209,84.068,1.473,0,0.157,1.299,2.617,7.150,24.028,6.066
385,123,211,68.691,5.151,0,0.259,1.655,3.748,10.064,30.408,15.702
386,124,211,83.361,23.094,0,0.221,1.613,3.369,8.162,22.287,27.776
387,124,212,74.639,27.208,0,0.230,1.561,3.443,8.974,26.184,16.404
388,124,213,76.722,23.980,0,0.229,1.669,3.876,10.641,32.681,18.880
389,125,212,68.342,18.656,0,0.220,1.314,2.341,4.886,11.659,9.382
390,125,214,49.616,21.013,0,0.247,1.538,3.413,9.252,28.707,21.462
391,126,212,43.311,23.960,0,0.272,1.576,3.440,8.889,25.742,16.405
392,126,214,28.072,35.551,0,0.279,2.000,5.019,14.223,43.877,13.888
393,127,212,2.039,35.495,0,0.315,1.790,4.256,11.681,35.231,10.961
394,127,214,14.082,25.706,0,0.272,1.686,3.840,10.225,30.295,32.311
395,127,216,4.771,15.050,0,0.244,1.817,4.577,13.447,43.390,38.618
396,127,218,22.789,11.279,0,0.164,1.500,3.369,9.244,28.755,24.362
397,127,219,23.536,17.060,0,0.261,1.906,4.329,10.820,29.012,3.031
398,127,221,10.331,7.917,0,0.229,1.432,3.033,7.820,22.999,13.846
399,127,223,1.317,21.671,0,0.175,1.287,2.301,5.121,13.704,10.041
400,128,213,38.935,9.739,0,0.195,1.546,3.373,8.638,24.602,28.690
401,128,215,43.288,2.446,0,0.258,1.536,3.179,7.707,21.048,30.088
402,129,214,66.790,39.598,0,0.254,1.661,3.626,9.175,25.817,32.379
403,129,215,63.367,44.007,0,0.241,1.478,3.035,7.403,20.487,29.911
404,129,216,61.951,36.195,0,0.290,1.898,4.846,14.089,44.353,19.468
405,129,218,55.357,35.541,0,0.155,1.345,2.717,6.813,19.784,4.319
406,129,220,47.790,22.355,0,0.289,1.804,4.203,11.144,32.313,30.412
407,129,222,43.001,29.378,0,0.264,1.656,3.783,10.194,30.690,29.368
408,130,214,55.544,77.374,0,0.252,1.961,5.188,15.664,50.977,13.774
409,130,216,69.012,69.850,0,0.253,1.811,4.348,11.827,34.860,44.538
410,130,217,71.027,74.628,0,0.290,1.734,4.109,11.497,35.911,17.703
411,131,215,11.537,39.166,0,0.234,1.490,3.129,7.924,22.914,31.046
412,131,217,1.090,28.493,0,0.145,1.059,1.742,3.676,9.925,14.649
413,132,216,6.094,88.359,0,0.144,1.728,4.265,12.643,41.487,40.691
414,132,218,19.582,82.114,0,0.279,1.576,3.324,8.245,23.111,24.323
415,132,219,12.642,79.257,0,0.188,1.239,2.124,4.495,11.756,28.805
416,132,220,4.200,82.496,0,0.219,1.753,4.425,13.276,44.146,22.615
417,133,217,91.819,21.615,0,0.277,1.708,3.992,11.000,33.858,20.170
418,133,219,75.219,13.599,0,0.272,1.271,2.136,4.210,9.720,27.778
419,134,217,91.649,46.710,0,0.250,1.474,2.802,6.044,14.433,4.117
420,134,218,86.509,38.805,0,0.314,1.678,3.719,9.562,27.320,15.065
421,135,220,50.607,67.988,0,0.234,1.718,4.114,11.555,35.699,29.686
422,135,222,49.776,56.345,0,0.266,1.644,3.611,9.247,26.351,22.718
423,136,220,74.497,76.293,0,0.247,1.383,2.427,4.795,10.534,12.694
424,136,222,84.124,74.906,0,0.191,1.363,2.550,5.634,14.269,7.465
425,137,221,5.603,0.801,0,0.107,1.100,1.611,2.589,4.486,12.370
426,137,223,0.711,13.558,0,0.098,0.842,1.072,1.493,2.284,11.633
427,138,221,28.668,33.080,0,0.229,1.616,3.603,9.383,27.099,30.619
428,138,223,20.018,41.485,0,0.244,1.487,3.040,7.351,20.119,8.032
429,138,225,16.530,57.929,0,0.258,1.681,3.865,10.299,30.196,9.095
430,139,221,25.977,57.438,0,0.269,1.672,3.816,10.303,31.194,28.670
431,139,223,34.315,52.588,0,0.172,1.295,2.642,7.028,22.333,15.924
432,140,222,2.589,50.023,0,0.329,1.767,4.066,10.771,31.532,28.495
433,140,224,2.081,56.026,0,0.232,1.426,2.765,6.252,16.029,8.572
434,141,223,1.455,69.695,0,0.179,1.021,1.309,1.781,2.586,11.743
435,141,225,18.141,63.950,0,0.319,1.585,3.520,9.232,26.926,8.668
436,142,226,60.803,37.138,0,0.239,1.465,2.905,6.768,17.849,14.681
437,142,228,51.079,19.863,0,0.292,1.680,3.627,8.960,24.390,23.190
438,143,228,6.985,36.832,0,0.305,1.921,4.893,14.191,44.617,7.993
439,143,229,2.129,31.278,0,0.227,1.499,2.794,5.839,13.448,32.019
440,143,231,19.447,35.288,0,0.250,1.557,3.418,9.017,27.053,15.232
441,144,228,76.527,73.688,0,0.270,1.673,3.813,10.289,31.246,28.781
442,144,230,89.867,68.756,0,0.290,1.666,3.664,9.412,27.170,25.005
443,145,229,64.601,53.053,0,0.402,2.005,5.168,15.013,46.970,7.744
444,145,230,60.235,53.689,0,0.250,1.570,3.251,7.784,20.780,25.932
445,146,229,22.997,88.233,0,0.192,1.377,2.620,6.024,16.026,26.141
446,146,231,21.373,87.196,0,0.232,1.509,2.922,6.430,15.705,16.695
447,146,233,1.836,87.667,0,0.125,1.660,3.772,10.196,30.781,29.981
448,146,235,2.166,74.613,0,0.201,1.348,2.626,6.293,17.634,24.895
449,146,237,2.424,81.620,0,0.180,1.649,3.269,7.117,16.783,20.855
450,146,239,15.098,80.267,0,0.251,1.535,3.350,8.953,27.565,36.385
451,147,230,1.117,1.560,0,0.127,1.173,1.765,3.034,5.987,10.093
452,147,232,1.858,5.054,0,0.150,1.720,4.429,13.758,47.292,17.694
453,148,231,72.629,24.035,0,0.239,1.460,2.667,5.416,11.984,12.476
454,148,233,60.392,15.409,0,0.269,1.638,3.472,8.430,22.661,22.316
455,149,232,33.000,43.881,0,0.207,1.639,3.868,10.962,34.960,23.248
456,149,234,19.900,47.247,0,0.255,1.790,4.160,11.092,32.580,13.396
457,149,236,1.610,46.976,0,0.164,1.714,4.395,13.416,44.703,14.764
458,150,232,38.976,66.442,0,0.310,1.817,4.310,11.698,34.732,21.908
459,150,234,35.358,67.398,0,0.219,1.649,3.765,10.090,30.106,14.188
460,150,236,44.288,65.464,0,0.316,1.659,3.558,8.816,24.351,33.739
461,151,232,30.269,68.109,0,0.282,1.657,3.744,10.012,30.185,18.925
462,151,234,18.138,75.624,0,0.241,1.910,4.710,13.373,41.863,18.829
463,152,235,40.362,41.837,0,0.253,1.323,2.275,4.467,9.881,23.436
464,152,237,38.410,51.669,0,0.230,1.670,3.879,10.572,31.995,28.414
465,153,235,9.560,59.295,0,0.246,1.309,2.405,5.486,15.264,27.952
466,153,237,2.760,74.340,0,0.248,1.585,3.631,10.047,31.293,35.088
467,154,237,92.138,15.131,0,0.224,1.657,3.732,9.959,29.910,34.833
468,154,239,80.487,10.625,0,0.177,1.554,3.614,10.083,31.324,29.160
469,155,239,10.672,20.257,0,0.226,1.462,2.821,6.311,15.926,22.763
470,155,241,9.064,29.368,0,0.235,1.624,3.730,10.158,30.857,34.458
471,156,239,82.208,26.440,0,0.223,1.298,2.260,4.660,11.311,6.080
472,156,241,92.849,35.366,0,0.174,1.380,2.513,5.337,12.871,15.482
473,157,239,47.016,71.368,0,0.236,1.602,3.542,9.198,26.593,33.121
474,157,241,34.175,59.937,0,0.344,1.782,4.202,11.442,34.328,20.877
475,157,243,44.941,45.536,0,0.330,1.420,2.659,5.721,13.775,21.393
476,157,245,42.514,55.454,0,0.247,1.565,3.243,7.884,21.688,11.849
477,157,247,46.618,68.743,0,0.233,1.522,3.220,8.133,23.372,14.709
478,158,240,20.147,60.310,0,0.270,1.600,3.500,8.956,25.571,13.747
479,158,242,24.352,75.891,0,0.226,1.793,4.608,13.864,45.580,14.749
480,159,243,50.385,26.020,0,0.249,1.452,2.758,6.005,14.585,26.213
481,159,245,51.773,13.782,0,0.314,1.462,2.982,7.311,20.580,14.466
482,159,247,44.124,2.029,0,0.357,1.540,3.236,8.224,24.249,14.709
483,159,249,36.408,17.468,0,0.241,1.505,2.934,6.555,16.333,17.035
484,160,243,2.037,88.221,0,0.133,1.689,3.334,7.342,17.672,16.152
485,160,244,1.269,88.989,0,0.098,0.906,1.236,1.866,3.109,8.756
486,161,244,1.588,26.885,0,0.192,1.421,2.839,7.177,21.688,28.557
487,161,246,6.342,37.003,0,0.183,1.375,2.624,5.889,14.953,14.345
488,162,244,92.760,87.444,0,0.175,1.136,1.573,2.367,3.886,9.332
489,162,245,91.488,81.961,0,0.260,1.351,2.426,5.157,12.907,8.512
490,163,245,93.224,61.294,0,0.092,0.930,1.886,5.482,19.474,16.963
491,163,246,85.501,61.769,0,0.367,1.746,3.803,9.311,24.846,18.359
492,164,249,72.710,56.818,0,0.200,1.412,2.782,6.627,18.386,18.591
493,164,250,71.203,66.243,0,0.242,1.593,3.527,9.416,28.739,38.198
494,164,252,71.478,83.410,0,0.223,1.538,3.175,7.719,21.286,45.445
495,164,254,80.354,76.240,0,0.235,1.887,4.951,14.885,48.412,27.779
496,165,249,9.780,67.337,0,0.196,1.311,2.263,4.448,9.790,5.792
497,165,250,1.352,70.156,0,0.123,1.275,2.227,4.992,14.193,14.741
498,166,250,23.140,38.162,0,0.227,1.615,3.594,9.462,27.950,36.344
499,166,251,19.618,38.214,0,0.316,1.380,2.484,5.056,11.356,15.569
500,166,253,12.528,33.823,0,0.179,1.559,3.652,10.299,32.275,16.144
501,166,254,5.560,33.410,0,0.199,1.458,3.073,8.002,24.112,13.580
502,167,250,1.279,77.806,0,0.125,1.198,1.989,4.076,10.226,12.448
503,167,251,1.560,86.722,0,0.198,1.328,2.175,3.963,7.931,10.478
504,168,251,1.889,21.172,0,0.168,1.494,2.886,6.539,16.863,7.621
505,168,252,1.641,19.818,0,0.179,1.451,3.278,9.253,29.581,45.671
506,169,252,66.969,21.267,0,0.148,1.416,3.124,8.490,26.229,42.879
507,169,254,67.677,5.626,0,0.198,1.357,2.768,7.072,21.258,10.369
508,170,253,0.884,54.743,0,0.068,0.966,2.289,7.244,25.855,3.596
509,170,254,2.679,57.562,0,0.189,2.071,4.813,12.153,32.909,31.419
510,171,253,83.682,68.287,0,0.274,1.653,3.638,9.362,26.940,15.978
511,171,254,91.242,70.513,0,0.256,1.906,4.151,9.817,24.826,22.004
512,172,257,2.045,3.423,0,0.382,1.924,4.575,12.103,34.452,5.437
513,172,259,15.820,16.140,0,0.339,1.551,3.265,8.142,23.075,30.002
514,173,257,58.942,16.660,0,0.363,1.818,4.112,10.569,29.998,5.794
515,173,259,69.765,2.794,0,0.301,1.624,3.335,7.710,19.551,30.760
516,174,257,56.013,24.357,0,0.294,1.559,3.242,7.970,22.302,7.967
517,174,258,55.188,26.410,0,0.341,1.666,3.651,9.166,25.279,22.046
518,175,258,24.107,17.312,0,0.321,1.686,3.897,10.705,33.163,27.420
519,175,260,34.426,0.816,0,0.132,1.225,2.613,7.286,24.191,34.798
520,176,259,84.315,25.921,0,0.185,1.565,3.627,10.051,31.124,18.073
521,176,260,81.572,30.884,0,0.240,1.443,2.732,6.028,15.114,41.721
522,177,259,44.557,68.161,0,0.213,1.421,2.886,7.060,19.767,15.650
523,177,261,35.342,76.608,0,0.213,1.640,3.973,11.397,36.013,3.844
524,177,262,41.540,75.497,0,0.326,1.838,4.522,12.769,39.405,25.717
525,177,263,35.527,80.535,0,0.216,1.456,2.964,7.279,20.633,27.507
526,178,260,88.578,63.004,0,0.208,1.415,2.857,6.990,19.673,41.783
527,178,261,92.237,61.128,0,0.205,1.479,2.923,6.972,19.365,7.166
528,179,261,75.492,52.879,0,0.225,1.543,3.325,8.592,25.343,9.052
529,179,263,58.111,49.972,0,0.205,1.457,3.090,7.932,23.147,24.276
530,179,264,57.002,52.875,0,0.306,1.593,3.381,8.393,23.457,44.560
531,180,263,8.063,71.425,0,0.201,1.391,2.747,6.565,18.161,21.446
532,180,264,9.348,78.543,0,0.316,1.707,3.875,10.089,28.786,10.301
533,181,264,2.171,54.950,0,0.243,1.616,3.146,6.736,15.595,42.827
534,181,266,2.792,45.299,0,0.276,1.438,2.811,6.528,17.376,13.619
535,181,268,13.102,45.229,0,0.200,1.292,2.349,5.188,13.573,13.101
536,181,270,13.671,30.099,0,0.313,1.856,4.532,12.712,39.023,22.550
537,181,272,7.385,25.500,0,0.189,1.471,3.257,8.947,28.137,38.925
538,182,264,64.409,86.766,0,0.304,1.588,3.311,7.982,21.422,46.598
539,182,266,67.449,84.813,0,0.285,1.627,3.554,8.996,25.197,7.790
540,183,266,52.642,2.515,0,0.325,1.391,2.600,5.790,14.987,12.805
541,183,268,48.347,6.661,0,0.157,1.284,2.541,6.434,19.326,13.110
542,183,270,50.194,22.403,0,0.231,1.775,4.414,12.718,39.893,28.234
543,184,266,83.694,21.431,0,0.278,1.723,3.973,10.627,31.447,6.638
544,184,267,93.030,18.714,0,0.104,1.310,3.048,8.630,27.108,8.135
545,184,269,75.330,16.019,0,0.177,1.432,3.036,7.863,23.219,31.388
546,184,271,75.411,14.034,0,0.311,1.725,3.995,10.950,33.830,29.400
547,184,273,73.523,0.848,0,0.113,1.005,1.583,3.073,7.248,16.762
548,185,267,87.656,82.582,0,0.363,1.678,3.554,8.586,22.980,19.064
549,185,269,68.946,88.744,0,0.174,1.308,2.236,4.747,12.607,3.054
550,186,269,60.198,88.528,0,0.178,1.497,2.936,6.920,18.868,32.268
551,186,271,49.950,74.677,0,0.239,1.489,2.932,6.623,16.595,3.421
552,186,272,45.194,70.279,0,0.230,1.298,2.390,5.396,14.475,5.356
553,186,274,40.804,79.056,0,0.222,1.604,3.608,9.704,29.543,15.962
554,187,272,91.489,60.035,0,0.237,1.445,3.002,7.617,22.202,42.289
555,187,273,93.122,69.701,0,0.095,0.890,1.330,2.442,5.504,23.967
556,188,274,73.286,55.758,0,0.217,1.726,4.271,12.507,40.488,6.061
557,188,276,78.036,58.734,0,0.250,1.660,3.788,10.121,30.090,4.402
558,189,275,23.943,12.853,0,0.329,1.726,3.975,10.531,30.638,10.323
559,189,277,29.928,20.514,0,0.357,1.817,4.201,11.038,31.793,10.109
560,190,277,16.561,39.024,0,0.241,1.552,3.288,8.157,22.653,11.735
561,190,279,23.303,36.912,0,0.308,1.644,3.585,9.020,25.103,13.740
562,191,278,93.152,77.255,0,0.121,1.015,1.449,2.284,3.932,9.168
563,191,280,79.638,86.739,0,0.314,1.764,3.883,9.535,25.246,15.670
564,191,282,78.029,71.454,0,0.330,1.666,3.669,9.335,26.370,27.727
565,191,284,92.770,73.161,0,0.139,1.254,2.156,4.597,11.987,15.724
566,192,279,92.121,62.731,0,0.168,1.662,3.689,9.677,28.514,13.859
567,192,281,75.929,60.705,0,0.260,1.727,4.066,11.077,33.046,13.896
568,193,279,43.707,89.097,0,0.122,1.015,1.894,4.710,14.380,25.260
569,193,280,36.282,86.333,0,0.226,1.640,3.886,11.171,36.251,15.666
570,194,280,33.285,75.662,0,0.256,1.496,2.984,7.046,19.114,15.217
571,194,281,37.550,79.279,0,0.194,1.564,3.585,10.048,32.015,35.267
572,194,283,45.812,77.033,0,0.247,1.440,2.847,6.695,18.123,16.693
573,195,281,7.186,17.302,0,0.261,1.582,3.319,8.036,21.592,30.753
574,195,283,5.555,16.077,0,0.267,1.464,2.957,7.156,19.790,15.749
575,195,285,0.890,10.138,0,0.177,1.652,4.111,12.184,40.198,13.224
576,195,287,14.466,16.889,0,0.218,1.466,3.112,8.150,24.645,35.859
577,196,283,1.012,45.749,0,0.135,1.159,2.182,5.158,14.467,10.611
578,196,285,17.254,54.667,0,0.246,1.687,3.922,10.833,33.616,14.148
579,197,284,2.096,31.783,0,0.224,1.859,4.440,12.097,35.947,15.517
580,197,286,7.011,43.796,0,0.265,1.678,3.958,11.070,34.502,34.111
581,198,284,24.545,84.521,0,0.284,1.841,4.479,12.450,37.745,15.516
582,198,286,6.713,78.682,0,0.264,1.773,4.349,12.443,39.118,14.739
583,198,288,8.270,64.463,0,0.198,1.417,2.851,6.952,19.499,14.748
584,198,289,5.238,62.795,0,0.242,1.312,2.442,5.601,15.433,3.655
585,199,286,58.440,1.571,0,0.147,1.708,3.922,10.739,32.887,32.850
586,199,288,71.757,2.085,0,0.192,1.579,3.567,9.843,30.873,33.436
587,200,286,73.304,45.629,0,0.323,1.671,3.642,9.203,26.011,29.932
588,200,287,75.905,54.323,0,0.291,1.559,3.325,8.410,24.029,37.047
589,201,287,80.531,1.849,0,0.206,1.345,2.582,6.312,18.687,7.368
590,201,288,78.054,2.312,0,0.230,1.772,3.685,8.461,21.243,35.755
591,202,287,66.408,15.675,0,0.316,1.999,4.827,12.878,36.863,5.757
592,202,289,48.481,19.490,0,0.196,1.456,3.182,8.538,26.049,24.984
593,202,291,50.637,36.316,0,0.265,1.339,2.558,6.031,16.875,31.616
594,203,288,61.692,77.536,0,0.319,1.757,4.214,11.712,35.650,12.092
595,203,290,79.124,69.175,0,0.244,1.647,3.735,9.948,29.558,22.101
596,204,289,38.383,83.411,0,0.292,1.628,3.519,8.985,26.076,15.126
597,204,291,29.913,87.035,0,0.300,1.663,3.701,9.571,27.442,5.473
598,205,291,38.663,33.973,0,0.287,1.521,3.098,7.527,21.075,40.239
599,205,293,28.904,34.640,0,0.349,1.820,4.372,12.256,38.182,15.729
600,206,293,30.665,20.365,0,0.303,1.815,4.385,12.209,37.243,15.729
601,206,294,25.806,26.349,0,0.247,1.510,3.176,8.022,23.054,9.435
602,206,295,22.890,17.734,0,0.291,1.549,3.205,7.748,21.049,7.160
603,206,296,24.500,25.883,0,0.234,1.385,2.628,5.960,15.734,29.885
604,207,294,62.505,59.581,0,0.188,1.314,2.637,6.725,20.296,22.172
605,207,295,63.826,68.371,0,0.392,1.998,4.956,13.824,41.765,12.791
606,207,296,63.162,69.340,0,0.421,1.448,2.709,5.838,14.227,33.448
607,207,297,63.145,71.094,0,0.375,1.931,4.826,13.660,41.885,8.808
608,207,298,61.711,70.448,0,0.376,1.814,4.372,12.228,37.777,20.914
609,207,299,61.232,70.717,0,0.410,1.690,3.757,9.768,28.477,19.928
610,208,296,44.739,8.770,0,0.279,1.489,3.058,7.659,22.484,44.467
611,208,298,50.856,11.151,0,0.231,1.687,4.124,12.124,39.856,15.815
612,209,296,63.580,32.079,0,0.253,1.509,3.029,7.071,18.560,45.458
613,209,298,53.284,27.675,0,0.289,1.508,2.876,6.191,14.714,12.705
614,209,300,34.194,30.746,0,0.765,1.460,2.737,5.824,13.753,3.4e38
615,209,301,32.576,31.063,0,0.428,1.601,3.343,8.015,21.301,13.591
616,209,302,37.013,31.824,0,0.592,1.592,3.206,7.277,18.092,3.4e38
617,209,304,34.407,27.232,0,0.337,1.734,4.012,10.794,32.250,48.375
618,210,296,6.531,49.302,0,0.216,1.453,3.172,8.610,27.104,36.937
619,210,297,10.272,43.896,0,0.375,2.008,5.170,14.910,46.175,8.807
620,211,303,1.908,55.938,0,0.245,1.706,4.037,11.235,34.839,13.413
621,211,305,2.671,72.735,0,0.179,1.861,4.046,9.563,24.119,16.533
622,212,303,85.128,59.155,0,0.272,1.689,3.733,9.465,26.491,26.724
623,212,305,92.462,58.592,0,0.172,1.208,1.946,3.773,8.941,17.803
624,213,303,31.188,76.782,0,0.259,1.504,2.928,6.674,17.549,20.287
625,213,304,25.090,74.544,0,0.359,1.810,4.115,10.468,28.782,47.494
626,214,303,19.684,88.256,0,0.225,1.389,2.536,5.494,14.011,8.412
627,214,304,16.285,83.534,0,0.307,1.716,3.872,10.032,28.576,41.888
628,214,305,21.590,80.080,0,0.190,1.311,2.582,6.512,19.696,5.198
629,215,304,86.576,7.528,0,0.219,1.649,4.030,11.935,39.664,46.614
630,215,306,69.069,9.687,0,0.224,1.459,2.929,7.025,19.365,13.307
631,215,307,63.409,2.761,0,0.228,1.332,2.336,4.693,10.620,11.479
632,216,307,1.821,31.760,0,0.262,1.423,2.589,5.288,11.910,11.480
633,216,309,1.373,33.002,0,0.164,1.398,3.162,9.381,32.399,18.128
634,217,308,65.970,41.665,0,0.233,1.603,3.513,9.141,26.951,15.059
635,217,309,60.015,39.720,0,0.233,1.317,2.301,4.751,11.477,8.742
636,218,308,60.470,86.424,0,0.243,1.621,3.644,9.779,29.781,15.871
637,218,309,58.327,82.634,0,0.239,1.456,2.888,6.878,19.021,27.915
638,218,311,58.554,69.569,0,0.186,1.320,2.460,5.573,14.793,18.138
639,218,312,50.219,71.627,0,0.298,1.677,3.620,8.947,24.428,34.820
640,218,314,53.888,68.133,0,0.286,1.383,2.636,6.013,15.998,13.757
641,218,316,58.438,79.337,0,0.380,1.855,4.542,12.784,39.385,15.583
642,218,317,58.088,79.667,0,0.380,1.739,3.899,9.948,27.832,14.034
643,218,319,57.059,79.952,0,0.474,1.589,3.271,7.772,20.608,4.363
644,219,309,22.520,21.955,0,0.187,1.359,2.759,7.105,21.812,27.008
645,219,311,20.368,33.156,0,0.222,1.349,2.606,6.226,17.637,21.790
646,220,311,86.444,32.997,0,0.219,1.409,2.992,7.937,24.333,11.405
647,220,313,92.736,32.592,0,0.152,1.334,2.210,4.169,8.872,17.095
648,221,312,10.877,39.552,0,0.199,1.519,3.449,9.451,28.950,51.261
649,221,314,1.047,32.819,0,0.129,1.273,2.703,7.123,21.449,13.754
650,222,313,38.892,58.834,0,0.331,1.988,5.224,15.617,50.607,11.442
651,222,315,22.903,52.384,0,0.232,1.592,3.713,10.458,33.084,5.188
652,223,313,59.702,77.645,0,0.257,1.412,2.515,5.027,11.064,24.192
653,223,315,59.439,79.661,0,0.306,1.509,3.184,8.078,23.476,11.317
654,224,320,35.481,38.561,0,0.189,1.371,2.622,6.060,16.321,23.650
655,224,322,43.740,44.453,0,0.244,1.469,3.040,7.684,22.516,24.711
656,224,324,39.617,63.628,0,0.218,1.330,2.433,5.274,13.171,24.025
657,225,320,84.821,51.244,0,0.270,1.639,3.339,7.642,19.136,31.615
658,225,322,92.513,50.151,0,0.210,1.425,2.807,6.797,19.240,27.939
659,226,320,85.890,88.134,0,0.173,1.640,3.382,8.042,21.257,31.156
660,226,321,79.511,88.079,0,0.178,1.431,3.252,9.488,32.033,16.784
661,226,323,72.804,78.340,0,0.333,1.582,3.204,7.387,18.844,13.978
662,227,321,14.313,37.774,0,0.222,1.582,3.799,11.309,38.171,4.579
663,227,323,6.970,36.946,0,0.234,1.441,3.078,8.089,24.479,13.978
664,227,325,2.249,44.706,0,0.385,1.932,4.570,12.095,34.740,22.630
665,228,322,1.964,27.678,0,0.209,1.461,2.828,6.471,16.890,28.524
666,228,324,19.677,25.449,0,0.260,1.394,2.601,5.794,15.130,22.433
667,228,326,7.334,17.078,0,0.375,1.572,3.189,7.417,19.174,5.120
668,229,325,32.281,25.016,0,0.348,1.893,4.774,13.834,43.654,17.381
669,229,327,31.252,19.320,0,0.198,1.372,2.585,5.911,15.862,19.590
670,230,325,11.403,52.945,0,0.277,1.738,4.277,12.465,40.309,14.304
671,230,327,16.332,42.927,0,0.252,1.481,3.166,8.366,25.693,26.046
672,230,329,22.005,57.211,0,0.280,1.749,4.108,11.259,34.233,36.170
673,230,330,15.648,55.536,0,0.270,1.600,3.444,8.653,24.262,9.965
674,231,327,89.739,71.273,0,0.307,1.546,3.117,7.339,19.626,27.867
675,231,329,93.096,56.379,0,0.114,0.944,1.305,1.998,3.367,11.070
676,231,331,76.129,64.045,0,0.248,1.531,3.092,7.297,19.491,12.508
677,232,328,77.724,29.467,0,0.303,1.849,4.381,11.864,35.269,37.202
678,232,329,70.515,28.384,0,0.275,1.719,3.987,10.847,32.960,37.079
679,233,329,50.744,61.217,0,0.284,1.769,4.205,11.662,35.941,31.617
680,233,331,53.760,66.470,0,0.190,1.283,2.539,6.734,21.989,17.409
681,233,333,49.844,57.680,0,0.233,1.740,4.411,13.454,45.750,3.610
682,234,329,64.661,86.688,0,0.247,1.635,3.675,9.816,29.537,19.849
683,234,331,58.670,68.035,0,0.259,1.670,3.741,9.760,28.299,13.616
684,234,333,57.262,77.778,0,0.281,1.619,3.477,8.674,24.141,24.081
685,234,335,68.274,75.247,0,0.190,1.728,4.339,12.750,41.012,28.086
686,235,332,42.908,89.308,0,0.068,1.220,3.363,11.389,41.711,9.625
687,235,333,50.517,88.070,0,0.174,1.656,3.842,10.772,34.014,20.329
688,235,335,54.547,76.494,0,0.296,1.759,4.018,10.553,30.603,39.744
689,235,337,38.622,87.931,0,0.212,1.823,4.383,12.159,36.826,15.114
690,236,333,92.390,26.814,0,0.164,1.414,2.670,6.178,17.016,3.382
691,236,335,90.406,14.406,0,0.256,1.747,4.053,10.861,32.088,40.483
692,236,337,84.506,31.902,0,0.224,1.475,3.141,8.128,24.093,12.160
693,237,333,16.889,62.627,0,0.240,1.570,3.527,9.620,29.888,25.795
